day,month,year,hour,avg-temp,avg-humidity,avg-precip,avg-wind,avg-windir
13,6,2020,21,19.72021891891892,80.41120891891892,1.193715833333333,5.165215,191.194281
13,6,2020,22,19.73098891891892,82.03804013513513,0.8476606666666666,5.301766285714286,207.6693502857143
13,6,2020,23,19.629447837837837,83.15957702702703,0.5133483050847457,5.350498857142857,225.12316342857142
14,6,2020,0,19.521740675675677,82.09834864864865,0.6180950847457627,5.446705571428571,234.0486672857143
14,6,2020,1,19.319391891891893,82.50344540540542,0.7588328333333333,5.375241571428571,222.9597552857143
14,6,2020,2,19.23110878378378,84.2701864864865,1.1311438983050845,5.4231745714285715,215.559213
14,6,2020,3,19.445528630136987,84.46254315068494,0.9445244827586206,5.574647536231884,216.13651072463767
14,6,2020,4,19.945575479452057,83.7556497260274,0.4223829310344828,5.6483589855072465,218.28112275362318
14,6,2020,5,20.209076712328766,85.23203520547946,0.05878275862068965,5.957461449275362,222.82786884057973
14,6,2020,6,20.201277397260274,87.75540369863013,0.2366110344827586,6.162489420289855,224.81136811594203
14,6,2020,7,20.50523847222222,87.30070111111111,0.8531799999999999,6.553297205882353,222.91977823529413
14,6,2020,8,20.68091506849315,86.89072917808218,0.5305027586206896,6.453205507246376,219.01740434782607
14,6,2020,9,20.850038194444444,86.61500333333333,0.42800333333333335,6.280875147058823,219.4834130882353
14,6,2020,10,21.39748876712329,85.4862901369863,0.28049293103448275,6.217519855072464,204.6969252173913
14,6,2020,11,22.450411917808218,79.62485547945205,0.009381864406779662,6.335400144927536,195.99233579710145
14,6,2020,12,23.514160675675676,71.58092270270271,0.019867118644067795,6.594892714285715,197.77096457142858
14,6,2020,13,24.197968783783782,66.04440756756756,0.4786186440677966,6.514636428571428,202.34533014285714
14,6,2020,14,24.525757162162165,63.103630810810806,0.7645649152542373,6.270081285714285,201.879501
14,6,2020,15,23.761623513513513,64.65192770270271,0.8156343333333335,5.586794,187.56310357142857
14,6,2020,16,23.06041972972973,67.2735772972973,1.1221098333333335,5.317182,178.024406
14,6,2020,17,22.42744,69.41657783783783,1.0919398333333334,5.154043571428572,161.653832
14,6,2020,18,22.092222297297297,70.98159891891892,1.0213565,5.145318857142858,156.64918057142856
14,6,2020,19,21.772019594594592,74.45753351351351,1.0307026666666668,5.067976000000001,167.36813771428572
14,6,2020,20,20.843333243243244,82.3621772972973,1.211441,5.383683,146.30542914285715
14,6,2020,21,19.958071891891894,88.858565,1.0387278333333334,5.222308571428571,138.47836842857143
14,6,2020,22,19.397142602739727,92.26630486111111,0.8945923728813558,5.268928550724637,142.98707985507247
14,6,2020,23,19.24128397260274,93.32584097222222,0.7323798305084745,5.186163043478261,141.44152942028984
15,6,2020,0,19.281429178082192,93.32790291666667,0.7628760344827585,5.266356666666667,161.4863288405797
15,6,2020,1,19.397503783783783,93.26271,0.8143072881355933,5.138809857142856,177.04674300000002
15,6,2020,2,19.465385945945947,93.22208095890412,0.7655058333333334,5.0736171428571435,190.75866642857142
15,6,2020,3,19.709319594594593,93.3368002739726,0.7451298305084746,5.157844857142858,193.22436028571428
15,6,2020,4,20.44570972972973,92.09319054054053,0.8447569491525424,5.465526285714286,212.75271442857144
15,6,2020,5,21.384607162162162,88.7858018918919,0.27272881355932205,5.690134857142857,244.36239971428571
15,6,2020,6,22.385382297297298,84.03721945945946,0.2569003389830508,5.624642,250.84675657142856
15,6,2020,7,23.631355675675675,78.34771310810811,1.0170278333333334,5.615955857142858,239.40464785714283
15,6,2020,8,24.620445405405405,73.90627135135135,0.20524508474576272,5.701617142857142,217.99789514285715
15,6,2020,9,25.103645945945946,71.71527216216217,0.005533559322033898,5.942754285714286,204.29898771428572
15,6,2020,10,25.114107702702704,70.31846027027026,0.7844269999999999,6.010836142857143,196.69500542857142
15,6,2020,11,24.254695405405403,71.23663135135135,0.6814442372881356,5.496225,179.76021285714288
15,6,2020,12,24.431663108108108,71.01898567567568,0.03486932203389831,5.350298857142857,199.60838185714286
15,6,2020,13,23.942366216216218,75.13419689189189,0.6121905000000001,5.216400714285714,156.14744142857143
15,6,2020,14,23.569165270270272,78.02192675675676,0.6976238983050846,5.5739914285714285,145.4114624285714
15,6,2020,15,22.70711189189189,81.92582648648649,0.9383136666666666,5.667475857142858,93.28362371428571
15,6,2020,16,22.122657027027028,83.82507959459458,1.0716841666666668,5.453957428571428,84.094408
15,6,2020,17,21.317125675675676,86.29575,1.1839796666666667,5.376063857142857,110.23386871428572
15,6,2020,18,20.854257702702704,87.28502324324324,1.3409591666666667,5.277795285714286,140.86973157142856
15,6,2020,19,20.558641486486486,88.03901689189189,1.0787361666666666,5.205687714285713,170.6008312857143
15,6,2020,20,20.304377534246576,88.57218424657533,1.2083776271186442,5.052671304347826,128.20893623188405
15,6,2020,21,20.079696621621622,87.89617081081082,1.383133,4.512526,131.16372614285714
15,6,2020,22,19.593810135135133,89.27833794520548,1.3578646666666667,4.576435571428572,152.48369328571428
15,6,2020,23,19.30552108108108,90.97052383561645,1.6953296610169493,4.5271802857142855,145.60139242857144
16,6,2020,0,19.21133635135135,91.75740342465754,2.3161079661016952,4.629238571428571,147.07248142857145
16,6,2020,1,19.019256351351352,92.25681479452055,4.047714576271186,4.552071571428572,139.76282871428572
16,6,2020,2,18.87680337837838,93.03991739726027,5.57863448275862,4.730070714285714,146.57680071428572
16,6,2020,3,19.116292837837836,93.3204802739726,4.927261206896552,4.861695428571428,127.35119185714287
16,6,2020,4,20.39465364864865,91.77954506849315,1.0165862068965517,4.854751285714286,107.143665
16,6,2020,5,22.149907702702706,86.06365432432433,0.009737068965517242,4.9123347142857146,136.40903842857142
16,6,2020,6,23.88632554054054,77.55919418918918,1.2650037288135594,5.052496,171.17158857142857
16,6,2020,7,25.139889324324322,70.13872513513513,0.59237,5.383100714285714,193.45966685714288
16,6,2020,8,25.935047162162164,64.32023067567567,0.9531408620689655,5.731333428571429,196.48069
16,6,2020,9,26.622793698630137,57.58295630136986,0.010938421052631578,6.020137536231884,192.34807536231884
16,6,2020,10,27.308959452054793,53.23622164383562,0.0060584482758620686,6.004692463768115,191.85363550724637
16,6,2020,11,27.79970287671233,51.561360547945206,0.004369655172413793,5.95881695652174,185.32854463768115
16,6,2020,12,28.016708767123287,52.39911547945205,0.000918448275862069,6.077783623188406,172.1248895652174
16,6,2020,13,27.84727904109589,55.68417534246575,0.3928377586206897,6.24432420289855,162.3903163768116
16,6,2020,14,26.62520534246575,65.64410726027397,0.6837525862068965,6.659408550724637,122.84963855072465
16,6,2020,15,25.254546712328764,73.53796219178082,0.46301728813559323,6.821959420289855,100.39682724637682
16,6,2020,16,23.699864794520547,79.12716054794521,1.017483898305085,6.562820144927536,86.87520507246377
16,6,2020,17,22.28870689189189,84.4006108108108,1.2366898305084744,6.367045428571429,92.06624257142857
16,6,2020,18,21.65564189189189,87.77989932432433,1.081835593220339,6.188057714285715,106.49887514285714
16,6,2020,19,21.320307534246577,89.18001136986302,1.3867739655172413,6.121565072463768,103.30420753623189
16,6,2020,20,21.150018219178083,89.2492110958904,2.0078139655172413,5.5957323188405805,113.87620347826088
16,6,2020,21,20.981198493150686,89.34663356164384,2.427506724137931,5.482582028985507,124.8106023188406
16,6,2020,22,20.69769890410959,89.82866917808218,2.4147774137931033,5.334601594202899,115.43292869565218
16,6,2020,23,20.421633378378377,89.97188780821918,2.9047613559322034,5.075672999999999,124.12802028571429
17,6,2020,0,20.110524054054054,90.7439294520548,5.163452711864407,4.853400428571429,149.826313
17,6,2020,1,19.814171095890412,91.5238102739726,5.563027192982457,4.619275362318841,157.52984231884056
17,6,2020,2,19.568919452054796,92.45907890410959,6.64372649122807,4.515904057971015,174.5510172463768
17,6,2020,3,19.806612602739726,92.85176205479452,8.706453684210526,4.670118550724638,180.03572130434785
17,6,2020,4,20.85462702702703,91.57531616438357,4.434049661016949,4.735606142857143,191.87524714285715
